,p158,p159,p160,p23,p24
r211,-0.263746299,-0.59045798,-0.675621494,-0.445084754,-1.740948157
r212,1.97208E+12,2.2172E+12,2.0165E+11,2.10008E+12,1.40904E+11
r213,0.002424569,0.008742017,0.008257366,0.002409835,0.006809806
r214,31091397.29,93325650.94,12439714.58,15094790.35,3872686.308
r215,-8997.134766,-18589.74727,-6229.293848,-5535.14375,-2781.878882
r216,2544.567407,2122.163135,758.7714905,2431.933008,901.9895264
r217,26110542357,11978155207,2187485023,26811868597,1569860622
r218,8.799944126,6.846952403,6.892515694,8.736043678,7.270522135
r219,6927.698288,7892.564941,4180.882239,4001.499512,1730.351582
r220,2.376255075,2.992046758,2.496330557,3.81989213,6.459764939
r221,7494.343262,7000.51709,1745.769653,7698.276367,2406.50708
r222,3767.095159,5805.76346,2308.220304,2499.781163,1195.286707
r223,-2842.545762,-6253.722435,-2242.258637,-1411.703236,-858.8053628
r224,-2271.811646,-4673.493652,-1537.846497,-1131.093628,-502.2725677
r225,-15975.25293,-24731.69727,-9796.829102,-14710.39844,-9707.379883
r226,23469.59619,31732.21436,11542.59875,22408.6748,12113.88696
r227,2842.539467,3843.278549,1709.74112,1693.297437,751.9521452
r228,5304.37181,9711.651906,3545.666793,3509.411756,1819.874238
r229,-0.327332776,-0.711336263,-0.692731022,-0.565318473,-1.395116284
r230,1.1349E+12,1.17142E+12,1.08858E+11,1.33774E+12,84719225714
r231,,0.008990018,0.009380367,0.002786259,0.007815699
r232,,55207138.44,7544029.213,10323064.85,2574395.589
r233,-5821.49707,-10965.8377,-3749.753589,-3580.524707,-1922.845789
r234,1893.710608,1797.662109,600.4322876,1698.336133,691.5986023
r235,10559372604,4690533465,827181979.5,11545059338,685002759.9
r236,8.36762006,6.73978988,6.901192562,8.230606116,6.981616901
r237,4482.829071,5240.466309,2673.082815,2731.327148,1305.897602
r238,2.529767648,3.129996044,2.575828186,3.968072058,5.356987383
r239,5414.732422,4876.976563,1297.921997,5550.709473,2142.425781
r240,2445.174963,3794.292952,1463.25026,1667.291553,828.2585441
r241,-1648.409406,-3674.389841,-1301.443415,-823.3072348,-496.8063291
r242,-1295.539429,-2574.54126,-839.8730774,-620.5221558,-306.8690033
r243,-10737.7207,-16136.05859,-6423.175293,-10386.93652,-6117.108398
r244,16152.45313,21013.03516,7721.09729,15937.646,8259.53418
r245,1815.675445,2515.43966,1081.948167,1124.148411,531.6238901
r246,3373.223128,6077.280179,2180.348464,2302.867073,1202.145375
r247,,-0.77737414,-0.71535509,-0.629138515,-1.075663333
r248,4.58965E+11,4.58718E+11,41163749626,5.76026E+11,36966914526
r249,0.003492866,0.010354021,0.008984014,0.003984319,0.009613844
r250,8661380.702,23432193.67,3060164.459,4625361.953,1198336.973
r251,-2778.35166,-4886.870996,-1747.660767,-1703.422095,-931.4536743
r252,944.3123047,887.0601807,300.7326355,841.7621338,350.0367432
r253,2388991446,952110841.6,177297501.1,2678415123,157609065.9
r254,7.578845047,6.567347876,6.192811062,7.275648534,6.150926017
r255,2140.433098,2422.218605,1260.440677,1313.413788,615.0791397
r256,2.611188857,3.177917774,2.616220107,4.105528675,5.069401818
r257,,2189.013184,632.5740967,2787.751953,1124.836426
r258,1174.880345,1717.71111,685.8623145,806.8903701,403.305772
r259,-742.8510403,-1633.696028,-586.4804095,-372.3922903,-223.4083107
